N34,N47,N70,N73,N74,N83,N178,N208,N225,N248,N249,N264,N276,N289,N314,N320,N327,N337,N342,N349,N387,N388,N406,N458,N502,N522,N539,N556,N562,N563,N611,N614,N619,N629,N639,N676,N682,N688,N701,N702,N755,N778,N780,N785,N813,N817,N835,N860,N861,N886,N896,N898,N899,N900,N906
0.192,0.198,0.054000000000000006,0.166,0.035,0.052000000000000005,0.05500000000000001,0.1062,0.059,0.05700000000000001,0.049,0.6324,0.05600000000000001,0.049,0.053000000000000005,0.729,0.133,0.049,0.053000000000000005,0.14700000000000002,0.045,0.054000000000000006,0.185,0.169,0.05,0.034,0.155,0.242,0.054000000000000006,0.053000000000000005,0.053000000000000005,0.233,0.167,0.045,0.043,0.144,0.045,0.052000000000000005,0.048,0.23420000000000002,0.052000000000000005,0.054000000000000006,0.05,0.09140000000000001,0.217,0.35,0.0826,0.046,0.153,0.052000000000000005,0.053000000000000005,0.229,0.047,0.219,0.05500000000000001
0.192,0.198,0.054000000000000006,0.166,0.035,0.052000000000000005,0.209,0.201,0.059,0.05700000000000001,0.049,0.6972000000000002,0.05600000000000001,0.049,0.053000000000000005,0.6668000000000001,0.14700000000000002,0.049,0.053000000000000005,0.051000000000000004,0.045,0.054000000000000006,0.24499999999999997,0.169,0.229,0.034,0.371,0.242,0.054000000000000006,0.053000000000000005,0.053000000000000005,0.233,0.12300000000000003,0.045,0.043,0.144,0.045,0.052000000000000005,0.048,0.389,0.052000000000000005,0.054000000000000006,0.05,0.029000000000000005,0.217,0.4619999999999999,0.233,0.046,0.153,0.1552,0.053000000000000005,0.389,0.047,0.219,0.05500000000000001
0.192,0.07479999999999999,0.054000000000000006,0.09519999999999999,0.035,0.052000000000000005,0.209,0.23820000000000002,0.059,0.05700000000000001,0.16019999999999998,0.381,0.05600000000000001,0.049,0.053000000000000005,0.052000000000000005,0.048,0.049,0.053000000000000005,0.051000000000000004,0.045,0.054000000000000006,0.155,0.1,0.343,0.1036,0.371,0.1564,0.054000000000000006,0.053000000000000005,0.053000000000000005,0.269,0.05700000000000001,0.045,0.043,0.1262,0.045,0.052000000000000005,0.048,0.389,0.09559999999999999,0.054000000000000006,0.05,0.18819999999999998,0.217,0.48599999999999993,0.233,0.046,0.0738,0.31,0.053000000000000005,0.389,0.047,0.0822,0.05500000000000001
0.28480000000000005,0.044,0.054000000000000006,0.048,0.035,0.052000000000000005,0.209,0.387,0.059,0.05700000000000001,0.188,0.24820000000000003,0.05600000000000001,0.049,0.053000000000000005,0.052000000000000005,0.048,0.049,0.053000000000000005,0.051000000000000004,0.045,0.0964,0.11500000000000002,0.054000000000000006,0.343,0.20800000000000002,0.2878,0.028000000000000004,0.054000000000000006,0.053000000000000005,0.053000000000000005,0.236,0.05700000000000001,0.045,0.11380000000000001,0.05500000000000001,0.045,0.052000000000000005,0.048,0.36260000000000003,0.161,0.054000000000000006,0.05,0.22800000000000004,0.217,0.37560000000000004,0.233,0.046,0.054000000000000006,0.31,0.053000000000000005,0.2862,0.047,0.048,0.05500000000000001
0.152,0.044,0.054000000000000006,0.048,0.035,0.052000000000000005,0.209,0.32380000000000003,0.059,0.05700000000000001,0.188,0.088,0.05600000000000001,0.049,0.053000000000000005,0.12220000000000002,0.1686,0.049,0.053000000000000005,0.051000000000000004,0.045,0.16,0.1636,0.054000000000000006,0.3018,0.20800000000000002,0.267,0.028000000000000004,0.054000000000000006,0.13540000000000002,0.053000000000000005,0.236,0.05700000000000001,0.045,0.161,0.05500000000000001,0.045,0.052000000000000005,0.048,0.257,0.161,0.054000000000000006,0.05,0.22800000000000004,0.0858,0.31279999999999997,0.233,0.046,0.054000000000000006,0.31,0.053000000000000005,0.052000000000000005,0.047,0.048,0.05500000000000001
0.152,0.044,0.054000000000000006,0.048,0.035,0.052000000000000005,0.11660000000000001,0.229,0.1286,0.05700000000000001,0.188,0.142,0.05600000000000001,0.12220000000000002,0.053000000000000005,0.169,0.24900000000000003,0.2258,0.16219999999999998,0.051000000000000004,0.045,0.1994,0.236,0.054000000000000006,0.24,0.20800000000000002,0.13740000000000002,0.028000000000000004,0.054000000000000006,0.259,0.053000000000000005,0.236,0.05700000000000001,0.045,0.161,0.05500000000000001,0.045,0.2452,0.048,0.043,0.24739999999999998,0.054000000000000006,0.24,0.22800000000000004,0.053000000000000005,0.31299999999999994,0.08259999999999999,0.046,0.054000000000000006,0.1652,0.053000000000000005,0.052000000000000005,0.047,0.048,0.05500000000000001
0.1288,0.0738,0.054000000000000006,0.227,0.035,0.052000000000000005,0.05500000000000001,0.229,0.233,0.0794,0.0768,0.142,0.05600000000000001,0.171,0.053000000000000005,0.169,0.24900000000000003,0.27,0.23499999999999996,0.051000000000000004,0.045,0.357,0.236,0.054000000000000006,0.05,0.20800000000000002,0.051000000000000004,0.028000000000000004,0.39680000000000004,0.259,0.053000000000000005,0.2,0.05700000000000001,0.045,0.161,0.05500000000000001,0.045,0.374,0.048,0.043,0.2178,0.054000000000000006,0.24,0.14840000000000003,0.053000000000000005,0.2828,0.06639999999999999,0.046,0.054000000000000006,0.052000000000000005,0.053000000000000005,0.052000000000000005,0.047,0.048,0.05500000000000001
0.036,0.273,0.054000000000000006,0.227,0.035,0.23759999999999998,0.05500000000000001,0.0802,0.233,0.169,0.049,0.142,0.05600000000000001,0.171,0.053000000000000005,0.169,0.24900000000000003,0.27,0.23499999999999996,0.051000000000000004,0.045,0.27219999999999994,0.236,0.054000000000000006,0.05,0.034,0.051000000000000004,0.028000000000000004,0.441,0.13540000000000002,0.053000000000000005,0.05600000000000001,0.05700000000000001,0.0974,0.043,0.05500000000000001,0.045,0.374,0.048,0.043,0.385,0.054000000000000006,0.24,0.029000000000000005,0.053000000000000005,0.388,0.152,0.08920000000000002,0.1752,0.052000000000000005,0.053000000000000005,0.052000000000000005,0.047,0.048,0.26
0.036,0.393,0.054000000000000006,0.227,0.035,0.284,0.05500000000000001,0.043,0.233,0.169,0.049,0.06999999999999999,0.05600000000000001,0.171,0.053000000000000005,0.052000000000000005,0.2088,0.27,0.23499999999999996,0.051000000000000004,0.045,0.251,0.1998,0.054000000000000006,0.05,0.034,0.051000000000000004,0.028000000000000004,0.441,0.053000000000000005,0.053000000000000005,0.05600000000000001,0.09559999999999999,0.32239999999999996,0.043,0.05500000000000001,0.045,0.374,0.048,0.043,0.385,0.054000000000000006,0.24,0.029000000000000005,0.053000000000000005,0.488,0.152,0.154,0.256,0.052000000000000005,0.152,0.052000000000000005,0.047,0.048,0.379
0.036,0.33340000000000003,0.054000000000000006,0.227,0.035,0.284,0.05500000000000001,0.043,0.1634,0.169,0.049,0.052000000000000005,0.05600000000000001,0.049,0.053000000000000005,0.052000000000000005,0.048,0.18160000000000004,0.1986,0.1378,0.20099999999999998,0.251,0.05500000000000001,0.054000000000000006,0.05,0.034,0.051000000000000004,0.028000000000000004,0.441,0.053000000000000005,0.053000000000000005,0.05600000000000001,0.25,0.359,0.043,0.1678,0.045,0.2512,0.048,0.043,0.2986000000000001,0.0752,0.12600000000000003,0.029000000000000005,0.053000000000000005,0.45039999999999997,0.152,0.154,0.256,0.052000000000000005,0.152,0.052000000000000005,0.1958,0.048,0.379
0.036,0.244,0.054000000000000006,0.1928,0.155,0.284,0.05500000000000001,0.043,0.059,0.1018,0.049,0.16720000000000002,0.05600000000000001,0.049,0.053000000000000005,0.1568,0.048,0.049,0.053000000000000005,0.268,0.24,0.0934,0.05500000000000001,0.22360000000000002,0.05,0.034,0.051000000000000004,0.028000000000000004,0.18660000000000004,0.053000000000000005,0.053000000000000005,0.05600000000000001,0.25,0.359,0.043,0.196,0.045,0.052000000000000005,0.048,0.043,0.24100000000000002,0.16,0.05,0.029000000000000005,0.053000000000000005,0.4144,0.08779999999999999,0.154,0.256,0.052000000000000005,0.152,0.052000000000000005,0.233,0.048,0.379
0.036,0.341,0.054000000000000006,0.231,0.23499999999999996,0.19119999999999998,0.05500000000000001,0.213,0.059,0.05700000000000001,0.049,0.196,0.05600000000000001,0.049,0.053000000000000005,0.183,0.048,0.049,0.053000000000000005,0.268,0.24,0.054000000000000006,0.05500000000000001,0.266,0.05,0.034,0.051000000000000004,0.028000000000000004,0.054000000000000006,0.053000000000000005,0.053000000000000005,0.05600000000000001,0.1728,0.2542,0.043,0.196,0.045,0.052000000000000005,0.048,0.043,0.12760000000000002,0.16,0.05,0.029000000000000005,0.053000000000000005,0.39,0.045,0.0676,0.2156,0.052000000000000005,0.11240000000000001,0.052000000000000005,0.233,0.048,0.2084
0.036,0.141,0.054000000000000006,0.30179999999999996,0.23499999999999996,0.052000000000000005,0.05500000000000001,0.213,0.059,0.05700000000000001,0.049,0.196,0.05600000000000001,0.21000000000000002,0.053000000000000005,0.183,0.048,0.049,0.053000000000000005,0.268,0.24,0.054000000000000006,0.05500000000000001,0.266,0.05,0.034,0.051000000000000004,0.028000000000000004,0.054000000000000006,0.053000000000000005,0.053000000000000005,0.05600000000000001,0.05700000000000001,0.15480000000000002,0.043,0.196,0.045,0.052000000000000005,0.048,0.043,0.052000000000000005,0.16,0.05,0.0498,0.053000000000000005,0.23579999999999995,0.045,0.046,0.054000000000000006,0.052000000000000005,0.053000000000000005,0.052000000000000005,0.233,0.048,0.05500000000000001
0.036,0.141,0.054000000000000006,0.2392,0.07500000000000002,0.052000000000000005,0.05500000000000001,0.179,0.059,0.05700000000000001,0.049,0.32880000000000004,0.05600000000000001,0.21000000000000002,0.053000000000000005,0.183,0.048,0.049,0.0834,0.268,0.162,0.054000000000000006,0.05500000000000001,0.169,0.05,0.034,0.051000000000000004,0.028000000000000004,0.054000000000000006,0.053000000000000005,0.053000000000000005,0.05600000000000001,0.167,0.045,0.043,0.0832,0.045,0.052000000000000005,0.048,0.06939999999999999,0.052000000000000005,0.0964,0.05,0.133,0.1186,0.4960000000000001,0.045,0.046,0.054000000000000006,0.052000000000000005,0.053000000000000005,0.052000000000000005,0.15860000000000002,0.048,0.05500000000000001
0.036,0.10219999999999999,0.054000000000000006,0.166,0.035,0.052000000000000005,0.05500000000000001,0.043,0.1922,0.05700000000000001,0.16019999999999998,0.2468,0.05600000000000001,0.21000000000000002,0.053000000000000005,0.07819999999999999,0.048,0.049,0.205,0.051000000000000004,0.045,0.054000000000000006,0.05500000000000001,0.169,0.11180000000000001,0.034,0.051000000000000004,0.028000000000000004,0.054000000000000006,0.053000000000000005,0.053000000000000005,0.177,0.167,0.045,0.043,0.05500000000000001,0.045,0.052000000000000005,0.048,0.175,0.052000000000000005,0.054000000000000006,0.05,0.133,0.217,0.366,0.045,0.046,0.054000000000000006,0.052000000000000005,0.053000000000000005,0.052000000000000005,0.047,0.11639999999999999,0.05500000000000001
0.036,0.044,0.054000000000000006,0.166,0.035,0.052000000000000005,0.05500000000000001,0.043,0.281,0.05700000000000001,0.188,0.21800000000000003,0.05600000000000001,0.21000000000000002,0.053000000000000005,0.052000000000000005,0.048,0.049,0.205,0.051000000000000004,0.045,0.054000000000000006,0.05500000000000001,0.169,0.153,0.034,0.051000000000000004,0.242,0.054000000000000006,0.053000000000000005,0.053000000000000005,0.177,0.167,0.045,0.0776,0.05500000000000001,0.045,0.052000000000000005,0.048,0.175,0.052000000000000005,0.054000000000000006,0.05,0.133,0.217,0.366,0.1202,0.046,0.054000000000000006,0.0828,0.053000000000000005,0.052000000000000005,0.047,0.219,0.05500000000000001
0.036,0.044,0.054000000000000006,0.048,0.035,0.052000000000000005,0.1166,0.043,0.281,0.05700000000000001,0.188,0.38780000000000003,0.05600000000000001,0.049,0.189,0.052000000000000005,0.048,0.049,0.205,0.051000000000000004,0.045,0.054000000000000006,0.05500000000000001,0.12300000000000003,0.3418,0.034,0.13740000000000002,0.242,0.054000000000000006,0.053000000000000005,0.053000000000000005,0.354,0.12300000000000003,0.045,0.21600000000000003,0.05500000000000001,0.045,0.052000000000000005,0.048,0.175,0.052000000000000005,0.054000000000000006,0.05,0.07060000000000002,0.217,0.173,0.233,0.046,0.054000000000000006,0.20600000000000002,0.053000000000000005,0.08399999999999999,0.047,0.219,0.05500000000000001
0.036,0.044,0.054000000000000006,0.048,0.035,0.052000000000000005,0.209,0.043,0.281,0.1018,0.188,0.40459999999999996,0.05600000000000001,0.049,0.223,0.052000000000000005,0.12840000000000001,0.049,0.1746,0.051000000000000004,0.045,0.054000000000000006,0.05500000000000001,0.054000000000000006,0.484,0.034,0.2878,0.1992,0.054000000000000006,0.053000000000000005,0.053000000000000005,0.3056,0.05700000000000001,0.045,0.21600000000000003,0.05500000000000001,0.045,0.052000000000000005,0.048,0.09579999999999998,0.052000000000000005,0.054000000000000006,0.05,0.029000000000000005,0.217,0.07379999999999999,0.233,0.046,0.054000000000000006,0.20600000000000002,0.053000000000000005,0.21200000000000002,0.047,0.219,0.05500000000000001
0.036,0.16720000000000002,0.054000000000000006,0.048,0.035,0.052000000000000005,0.209,0.043,0.2366,0.169,0.0768,0.305,0.05600000000000001,0.09780000000000003,0.223,0.052000000000000005,0.24900000000000003,0.049,0.053000000000000005,0.051000000000000004,0.045,0.054000000000000006,0.09119999999999999,0.054000000000000006,0.381,0.034,0.371,0.028000000000000004,0.1868,0.053000000000000005,0.053000000000000005,0.341,0.05700000000000001,0.045,0.21600000000000003,0.05500000000000001,0.045,0.1224,0.048,0.043,0.052000000000000005,0.054000000000000006,0.05,0.029000000000000005,0.053000000000000005,0.049,0.233,0.046,0.054000000000000006,0.20600000000000002,0.053000000000000005,0.21200000000000002,0.047,0.219,0.05500000000000001
0.1688,0.198,0.054000000000000006,0.048,0.035,0.052000000000000005,0.209,0.1378,0.059,0.169,0.049,0.15660000000000002,0.05600000000000001,0.171,0.223,0.052000000000000005,0.24900000000000003,0.11339999999999999,0.053000000000000005,0.051000000000000004,0.045,0.054000000000000006,0.236,0.054000000000000006,0.381,0.17319999999999997,0.371,0.028000000000000004,0.22000000000000003,0.053000000000000005,0.053000000000000005,0.413,0.05700000000000001,0.045,0.21600000000000003,0.05500000000000001,0.045,0.374,0.048,0.043,0.13920000000000002,0.054000000000000006,0.05,0.1086,0.053000000000000005,0.049,0.233,0.11080000000000001,0.054000000000000006,0.1752,0.053000000000000005,0.25420000000000004,0.047,0.048,0.05500000000000001
0.348,0.198,0.054000000000000006,0.048,0.035,0.052000000000000005,0.209,0.201,0.059,0.169,0.049,0.052000000000000005,0.05600000000000001,0.171,0.15500000000000003,0.052000000000000005,0.24900000000000003,0.21000000000000002,0.053000000000000005,0.051000000000000004,0.045,0.054000000000000006,0.29600000000000004,0.054000000000000006,0.2682,0.20800000000000002,0.371,0.028000000000000004,0.39680000000000004,0.13540000000000002,0.053000000000000005,0.30679999999999996,0.05700000000000001,0.045,0.07759999999999999,0.05500000000000001,0.045,0.374,0.048,0.043,0.161,0.054000000000000006,0.05,0.22800000000000004,0.053000000000000005,0.049,0.045,0.154,0.054000000000000006,0.052000000000000005,0.053000000000000005,0.229,0.047,0.048,0.10259999999999998
0.33999999999999997,0.198,0.054000000000000006,0.048,0.035,0.052000000000000005,0.05500000000000001,0.23820000000000002,0.059,0.0794,0.049,0.052000000000000005,0.05600000000000001,0.171,0.053000000000000005,0.052000000000000005,0.24900000000000003,0.2542,0.053000000000000005,0.051000000000000004,0.045,0.054000000000000006,0.336,0.054000000000000006,0.05,0.20800000000000002,0.09259999999999999,0.028000000000000004,0.441,0.259,0.053000000000000005,0.236,0.05700000000000001,0.0816,0.13740000000000002,0.05500000000000001,0.045,0.374,0.048,0.043,0.161,0.054000000000000006,0.05,0.22800000000000004,0.053000000000000005,0.177,0.045,0.154,0.054000000000000006,0.052000000000000005,0.053000000000000005,0.229,0.047,0.048,0.174
0.3488,0.07479999999999999,0.054000000000000006,0.048,0.035,0.14479999999999998,0.05500000000000001,0.387,0.059,0.05700000000000001,0.049,0.052000000000000005,0.05600000000000001,0.07339999999999999,0.053000000000000005,0.052000000000000005,0.048,0.43099999999999994,0.053000000000000005,0.051000000000000004,0.045,0.054000000000000006,0.336,0.054000000000000006,0.05,0.20800000000000002,0.051000000000000004,0.028000000000000004,0.3082,0.259,0.053000000000000005,0.12800000000000003,0.05700000000000001,0.22800000000000004,0.161,0.05500000000000001,0.045,0.374,0.048,0.1286,0.13920000000000002,0.054000000000000006,0.05,0.22800000000000004,0.053000000000000005,0.209,0.1306,0.154,0.054000000000000006,0.052000000000000005,0.053000000000000005,0.229,0.047,0.048,0.174
0.256,0.2934,0.054000000000000006,0.048,0.035,0.284,0.05500000000000001,0.29220000000000007,0.059,0.05700000000000001,0.049,0.16720000000000002,0.05600000000000001,0.049,0.053000000000000005,0.052000000000000005,0.048,0.3666,0.053000000000000005,0.075,0.24,0.054000000000000006,0.1912,0.054000000000000006,0.05,0.13840000000000002,0.051000000000000004,0.028000000000000004,0.275,0.13540000000000002,0.053000000000000005,0.05600000000000001,0.05700000000000001,0.22800000000000004,0.161,0.05500000000000001,0.045,0.052000000000000005,0.048,0.257,0.23200000000000004,0.054000000000000006,0.05,0.22800000000000004,0.053000000000000005,0.209,0.152,0.046,0.054000000000000006,0.052000000000000005,0.09259999999999999,0.19360000000000002,0.047,0.048,0.174
0.1464,0.393,0.054000000000000006,0.048,0.035,0.284,0.05500000000000001,0.229,0.059,0.05700000000000001,0.049,0.196,0.05600000000000001,0.08120000000000001,0.053000000000000005,0.052000000000000005,0.048,0.27,0.053000000000000005,0.25780000000000003,0.24,0.054000000000000006,0.05500000000000001,0.054000000000000006,0.05,0.034,0.051000000000000004,0.028000000000000004,0.18660000000000004,0.053000000000000005,0.053000000000000005,0.05600000000000001,0.05700000000000001,0.22800000000000004,0.13740000000000002,0.05500000000000001,0.045,0.052000000000000005,0.048,0.257,0.385,0.054000000000000006,0.05,0.029000000000000005,0.053000000000000005,0.209,0.152,0.046,0.054000000000000006,0.052000000000000005,0.152,0.052000000000000005,0.1958,0.048,0.0788
0.072,0.393,0.054000000000000006,0.231,0.035,0.284,0.05500000000000001,0.229,0.1634,0.05700000000000001,0.049,0.196,0.05600000000000001,0.21000000000000002,0.053000000000000005,0.1568,0.048,0.27,0.053000000000000005,0.388,0.24,0.251,0.05500000000000001,0.054000000000000006,0.05,0.034,0.051000000000000004,0.028000000000000004,0.054000000000000006,0.053000000000000005,0.053000000000000005,0.05600000000000001,0.05700000000000001,0.22800000000000004,0.043,0.05500000000000001,0.045,0.052000000000000005,0.048,0.257,0.385,0.054000000000000006,0.05,0.029000000000000005,0.053000000000000005,0.14500000000000002,0.1306,0.046,0.054000000000000006,0.052000000000000005,0.152,0.052000000000000005,0.233,0.048,0.05500000000000001
0.20299999999999999,0.2738,0.054000000000000006,0.231,0.035,0.284,0.05500000000000001,0.1142,0.233,0.05700000000000001,0.049,0.196,0.05600000000000001,0.21000000000000002,0.053000000000000005,0.183,0.048,0.09319999999999999,0.1442,0.388,0.24,0.357,0.05500000000000001,0.1388,0.05,0.034,0.051000000000000004,0.028000000000000004,0.054000000000000006,0.053000000000000005,0.053000000000000005,0.05600000000000001,0.25,0.08159999999999999,0.043,0.10840000000000001,0.045,0.052000000000000005,0.048,0.257,0.385,0.054000000000000006,0.05,0.029000000000000005,0.053000000000000005,0.0986,0.045,0.046,0.054000000000000006,0.052000000000000005,0.152,0.052000000000000005,0.233,0.048,0.05500000000000001
0.333,0.164,0.054000000000000006,0.19440000000000002,0.035,0.052000000000000005,0.05500000000000001,0.213,0.233,0.05700000000000001,0.049,0.0808,0.05600000000000001,0.21000000000000002,0.053000000000000005,0.2766,0.048,0.049,0.2778,0.316,0.12300000000000003,0.357,0.05500000000000001,0.266,0.11180000000000001,0.034,0.051000000000000004,0.028000000000000004,0.054000000000000006,0.053000000000000005,0.053000000000000005,0.05600000000000001,0.25,0.1498,0.043,0.144,0.045,0.052000000000000005,0.048,0.043,0.2806,0.11760000000000001,0.05,0.029000000000000005,0.053000000000000005,0.173,0.045,0.046,0.054000000000000006,0.052000000000000005,0.0728,0.052000000000000005,0.233,0.048,0.05500000000000001
